"macro_zona","franja","temp_ver","temp_inv","superf","res_term","n_elec_gr","edad_elec","n_ocup","ing_fam","horas_uso","consumo"
"sur","valle",23.9,4.4,208.6,1.61,4,5.2,8,1665,76.6,18.3
"sur","costa",22.2,2.7,123.3,1.08,3,4.9,5,1535,55.5,14.4
"sur","cordillera",22.3,2.3,68.6,0.4,2,10.3,4,1121,33.1,15.6
"centro","cordillera",27.1,2.6,202.6,1.61,5,8.4,8,2109,97.1,20.3
"norte","costa",24.6,12.7,110.5,0.61,3,4.6,3,1041,46.9,13
"centro","costa",20.3,7.7,162.3,0.59,3,9.6,5,1819,52.6,23.9
"norte","costa",24.2,13.4,148.9,0.84,3,6.3,4,1578,49,15.7
"norte","cordillera",26,2.8,133.9,1.24,3,8.9,5,1368,52.8,14
"centro","valle",29.9,4.3,104.8,0.46,2,3.8,3,1145,31.4,16.7
"sur","cordillera",21.8,1.7,230.8,1.23,5,4.8,7,2121,91.7,27.9
"norte","costa",24.5,13.2,159.6,1.03,3,5.1,5,1758,55.1,14.5
"norte","cordillera",25.6,2.2,129,1.24,3,7.8,3,1364,47.7,12.9
"norte","cordillera",26.2,2.2,72.9,0.73,2,6.3,2,654,31.2,9.5
"sur","costa",21.8,2.9,114.9,1.38,2,4.1,2,1058,25.6,8.1
"centro","cordillera",27,1.5,158.4,1.56,4,10.1,4,1012,62.2,13.2
"norte","valle",27.2,8.5,147.5,1.25,4,4.9,6,1929,75.4,12.7
"centro","costa",19.3,8.7,84.2,0.59,3,5.7,5,1000,47.8,12.1
"centro","costa",19,8.1,161.1,0.87,4,9.5,4,1456,67,19.6
"centro","cordillera",27.9,2,99.6,1.07,3,8.8,4,1142,51.4,11.7
"centro","costa",20.5,8.3,50.5,0.63,2,7.6,3,828,32,7.5
"norte","valle",26.9,9,140.4,1.81,3,6.2,4,1481,49.9,2.3
"norte","costa",23.7,12.5,166,1.39,3,3.3,7,1241,57.7,8.9
"centro","costa",19.8,8.3,113.5,0.8,4,3.4,4,1503,65.4,13.5
"norte","cordillera",26.3,2.1,158.7,0.82,3,7,5,1633,53.4,21.5
"sur","costa",22.1,3,155.8,1.23,3,3.5,3,1421,47,14.9
"centro","costa",19.5,7.1,195.1,1.47,4,9.5,4,2024,65.9,18.7
"sur","cordillera",22.6,1.6,139.9,1.48,3,7.2,3,1195,46.4,12.7
"sur","valle",24.7,3.6,67.3,1.49,3,2.8,3,910,47.9,0.7
"sur","valle",24.7,4.1,92.7,1.44,2,11.5,5,1042,35.1,6.9
"norte","costa",25.2,13.1,122.1,0.46,2,6.2,5,1211,35.4,17.8
"norte","cordillera",26.1,2,119,1.09,3,5.9,4,1143,50.9,12.6
"centro","costa",20.1,7.4,86,0.26,2,5.6,5,973,32.1,15.8
"norte","cordillera",25.9,2.2,182.1,1.37,4,8.1,6,1956,67.4,19.8
"centro","valle",29.8,4.1,111.9,1.06,2,7.8,5,1098,33,11.4
"centro","cordillera",26.1,2.2,152.9,0.73,3,4.5,4,1743,50.4,21.3
"centro","costa",20,8.1,188.8,1.06,4,5.2,4,1507,66,19.1
"norte","valle",26.7,9.1,99.3,1.23,2,9.1,3,1548,31.4,6.7
"norte","valle",28.6,9.1,250.3,1.74,5,4.4,6,2910,86.6,18.4
"centro","valle",29.4,4.3,109.3,1.21,3,10,2,1002,45.9,8.8
"centro","valle",29.9,5,119.5,0.95,3,7.9,3,1264,45.4,13.3
"centro","costa",20.3,8.1,151.1,1.41,4,5.6,6,1658,72.8,12.3
"sur","costa",22.4,3.3,172.9,1.71,4,3.1,7,2191,74.2,15.2
"sur","valle",24.8,4.1,117.8,1.23,2,5.8,5,1260,34.6,10.7
"centro","cordillera",27.3,1.9,66,0.83,1,4.3,3,922,15.8,8.3
"sur","cordillera",22.6,2.7,136,1.41,3,9.9,6,2051,53.5,16.2
"centro","cordillera",27,2.2,136,1.42,3,8,4,1162,53.6,11.5
"norte","valle",27.5,9,166.2,0.61,4,5.8,7,2179,74.5,24.7
"centro","cordillera",26.5,2.1,209.1,1.99,4,8.3,5,2354,68.8,17.1
"norte","cordillera",25.5,1.9,122.1,0.85,3,5.8,5,1463,51.5,16.7
"centro","valle",30.2,4.2,74.5,0.46,1,7.3,3,743,17.3,13.3
"norte","cordillera",25.9,2.3,104.9,0.4,3,5.2,4,1225,48.6,18.3
"centro","valle",30.2,4,76.4,1.23,2,12.5,2,945,31.8,5.6
"norte","valle",26.4,9.1,158.9,1.2,4,3.2,4,1548,65,12.3
"norte","valle",27.3,9.9,74.3,0.74,3,10.9,2,746,43.2,8.9
"sur","costa",21.9,3.4,178.4,1.25,4,8,6,1954,72.1,20.8
"norte","costa",24.9,13.2,106,0.26,2,7.8,3,954,31.8,18.3
"norte","costa",25.6,13.3,116.9,0.96,2,8.4,5,1541,34,11.1
"sur","valle",24.1,3.9,148.7,1.16,3,4.2,6,1741,53.5,16.3
"norte","cordillera",25.4,2.2,112.5,1.18,3,8,3,1296,45.2,11.7
"norte","costa",26,13.2,162.1,1.77,4,5.5,6,1603,69.8,3.1
"centro","costa",19.2,8.3,121,0.93,3,3,5,1421,52.4,12.7
"norte","cordillera",26,1.7,237.3,1.47,5,5.4,5,2039,84.3,24.2
"centro","cordillera",27.2,0.9,131.3,1.38,3,10.2,3,1454,42.6,13.4
"sur","valle",23.5,4.8,137.8,1.08,3,5,5,1187,50.7,14.1
"norte","valle",26.4,8.9,85.3,0.43,2,5.4,2,846,28.7,13.1
"norte","costa",26.4,13.3,153.5,1,3,6.1,4,1448,49.8,13.2
"sur","costa",22.3,3.4,127.1,1.16,3,9.9,5,1564,48.5,15.2
"norte","cordillera",25.7,1.7,149.5,0.96,4,11.5,6,1565,70.3,20.9
"centro","valle",29.3,4.6,68.1,0.77,2,3.9,3,929,30.6,8.1
"sur","cordillera",22,1.8,52.1,1.38,1,5.8,1,780,12.9,2
"sur","costa",22,2.7,101.1,0.61,3,11.5,3,1098,48.2,16.6
